Class,Detection Rate,False Alarm Rate
DoS,0.5124716553287982,0.0
Probe,0.632258064516129,0.0
R2L,0.9868073878627969,3.6039715766774984e-06
U2R,0.8157894736842105,1.200831936365514e-06
normal,0.9999963856161982,0.4115952466690673
